Number	Name	Desig	Family	CS	Class	DiamS	DiamF	Diam	HS	HBand	H	GS	G	AlbS	AlbF	Albedo	PF	Period	PerDesc	AmpF	AmpMin	AmpMax	U	Pole	BIN	Notes
0	05s07	05s07	TNO	A	C	C		122.3	T		7.68	M	0.15	A		0.10		6.54				0.15	2	0		
0	05s22	05s22	TNO	A	C	C		66.9	T		8.99	M	0.15	A		0.10		6.05				0.15	2	0		
0	05t23	05t23	TNO	A	C	C		60.46	T		9.21	M	0.15	A		0.1		14.39				0.53	2	0		
0	10P/Temple 2	10P/Temple 2	CMT											A		0.057		8.93			0.45	0.8	3	1		
0	110P/Hartley 3		CMT						M			M	0.15					10.153				0.20	2	0		
0	14P/Wolf		CMT						M			M	0.15					9.02				0.37	2+	0		
0	169P/NEAT	2002 EX12	CMT	A	C	D		5.07	M		15.9			L		0.03		8.369				0.60	2	0		
0	1995 CR	1995 CR	NEA	A	S	C		0.136	M		21.7	M	0.15	A		0.20		2.66				0.16	2+	0		
0	1995 FJ	1995 FJ	NEA	A	S	D		0.24	L		20.46	M	0.15	A		0.20		9.2				0.3	2	0		T0
0	1995 FX	1995 FX	NEA	A	S	D		0.33	L		19.77	M	0.15	A		0.20		5.46				0.20	2	0		
0	1995 HM	1995 HM	NEA	A	S	D		0.094	L		22.5	M	0.15	A		0.20		1.62				2.	2	0		
0	1996 JA1	1996 JA1	NEA	T	V	L		0.15	L		21.1	M	0.15	L		0.285		5.227			0.80	0.88	3	0		
0	1996 PW	1996 PW	TNO	S	L	D		2.78	L		15.9	M	0.15	A		0.10		35.44				0.44	3	0		
0	1997 GL3	1997 GL3	NEA	T	V	C		0.318	M		19.1	M	0.15	A		0.40		7.572				0.28	2	0		
0	1997 WQ23	1997 WQ23	NEA	A	S	C		0.215	M		20.7	M	0.15	A		0.20		14.6				0.54	2	0		
0	1998 GL10	1998 GL10	NEA	A	S	C		0.471	M		19.0	M	0.15	A		0.20		5.930				0.10	2+	0		
0	1998 KY26	1998 KY26	NEA	T	X	L		0.03	L		25.5	M	0.15	D		0.124		0.1784			0.12	0.3	3	0		
