Time scale            : UTC/GMT
Object                : Lunar physical libration (additional libration terms not applied)
Planetary theory      : EPM2017 (http://iaaras.ru/en/dept/ephemeris/epm/2017)

          Date              Phi      Theta         Psi       Distance(km) 
YYYY MM DD HH MM SS.sss     rad        rad         rad     
2019 10 31  4 57 45.000 -0.0652060  0.4141528  4229.8795078
2019 11  1  4 57 45.000 -0.0657238  0.4141021  4230.1099527
2019 11  2  4 57 45.000 -0.0662573  0.4140986  4230.3404162
2019 11  3  4 57 45.000 -0.0667779  0.4141448  4230.5708719
2019 11  4  4 57 45.000 -0.0672541  0.4142402  4230.8012903
2019 11  5  4 57 45.000 -0.0676545  0.4143800  4231.0316422
2019 11  6  4 57 45.000 -0.0679510  0.4145563  4231.2619011
2019 11  7  4 57 45.000 -0.0681213  0.4147576  4231.4920459
2019 11  8  4 57 45.000 -0.0681514  0.4149702  4231.7220631
2019 11  9  4 57 45.000 -0.0680371  0.4151788  4231.9519484
2019 11 10  4 57 45.000 -0.0677850  0.4153683  4232.1817071
2019 11 11  4 57 45.000 -0.0674118  0.4155244  4232.4113540
2019 11 12  4 57 45.000 -0.0669437  0.4156357  4232.6409123
2019 11 13  4 57 45.000 -0.0664135  0.4156939  4232.8704117
2019 11 14  4 57 45.000 -0.0658581  0.4156951  4233.0998856
2019 11 15  4 57 45.000 -0.0653147  0.4156399  4233.3293675
2019 11 16  4 57 45.000 -0.0648172  0.4155331  4233.5588882
2019 11 17  4 57 45.000 -0.0643932  0.4153828  4233.7884729
2019 11 18  4 57 45.000 -0.0640619  0.4151994  4234.0181393
2019 11 19  4 57 45.000 -0.0638337  0.4149939  4234.2478971
2019 11 20  4 57 45.000 -0.0637112  0.4147768  4234.4777491
2019 11 21  4 57 45.000 -0.0636909  0.4145571  4234.7076926
2019 11 22  4 57 45.000 -0.0637662  0.4143420  4234.9377225
2019 11 23  4 57 45.000 -0.0639300  0.4141373  4235.1678330
2019 11 24  4 57 45.000 -0.0641762  0.4139476  4235.3980197
2019 11 25  4 57 45.000 -0.0644998  0.4137780  4235.6282788
2019 11 26  4 57 45.000 -0.0648951  0.4136342  4235.8586060
2019 11 27  4 57 45.000 -0.0653533  0.4135230  4236.0889940
2019 11 28  4 57 45.000 -0.0658602  0.4134512  4236.3194302
2019 11 29  4 57 45.000 -0.0663948  0.4134252  4236.5498953
2019 11 30  4 57 45.000 -0.0669299  0.4134490  4236.7803645
2019 12  1  4 57 45.000 -0.0674341  0.4135235  4237.0108085
2019 12  2  4 57 45.000 -0.0678745  0.4136456  4237.2411969
2019 12  3  4 57 45.000 -0.0682206  0.4138087  4237.4715010
2019 12  4  4 57 45.000 -0.0684470  0.4140021  4237.7016970
2019 12  5  4 57 45.000 -0.0685358  0.4142127  4237.9317679
2019 12  6  4 57 45.000 -0.0684792  0.4144255  4238.1617060
2019 12  7  4 57 45.000 -0.0682797  0.4146249  4238.3915128
2019 12  8  4 57 45.000 -0.0679506  0.4147962  4238.6212001
2019 12  9  4 57 45.000 -0.0675148  0.4149265  4238.8507881
2019 12 10  4 57 45.000 -0.0670033  0.4150063  4239.0803048
2019 12 11  4 57 45.000 -0.0664520  0.4150300  4239.3097827
2019 12 12  4 57 45.000 -0.0658987  0.4149965  4239.5392558
2019 12 13  4 57 45.000 -0.0653787  0.4149093  4239.7687564
2019 12 14  4 57 45.000 -0.0649222  0.4147755  4239.9983121
2019 12 15  4 57 45.000 -0.0645509  0.4146048  4240.2279430
2019 12 16  4 57 45.000 -0.0642779  0.4144080  4240.4576614
2019 12 17  4 57 45.000 -0.0641079  0.4141956  4240.6874721
2019 12 18  4 57 45.000 -0.0640397  0.4139767  4240.9173746
2019 12 19  4 57 45.000 -0.0640687  0.4137587  4241.1473654
2019 12 20  4 57 45.000 -0.0641893  0.4135477  4241.3774404
2019 12 21  4 57 45.000 -0.0643967  0.4133489  4241.6075958
2019 12 22  4 57 45.000 -0.0646865  0.4131674  4241.8378282
2019 12 23  4 57 45.000 -0.0650538  0.4130093  4242.0681339
2019 12 24  4 57 45.000 -0.0654910  0.4128812  4242.2985063
2019 12 25  4 57 45.000 -0.0659854  0.4127905  4242.5289343
2019 12 26  4 57 45.000 -0.0665182  0.4127439  4242.7594006
2019 12 27  4 57 45.000 -0.0670638  0.4127464  4242.9898818
2019 12 28  4 57 45.000 -0.0675915  0.4128005  4243.2203496
2019 12 29  4 57 45.000 -0.0680680  0.4129047  4243.4507729
2019 12 30  4 57 45.000 -0.0684609  0.4130536  4243.6811216
2019 12 31  4 57 45.000 -0.0687418  0.4132379  4243.9113692
2020  1  1  4 57 45.000 -0.0688893  0.4134452  4244.1414954
2020  1  2  4 57 45.000 -0.0688916  0.4136608  4244.3714889
2020  1  3  4 57 45.000 -0.0687473  0.4138691  4244.6013477
2020  1  4  4 57 45.000 -0.0684659  0.4140548  4244.8310798
2020  1  5  4 57 45.000 -0.0680668  0.4142041  4245.0607026
2020  1  6  4 57 45.000 -0.0675785  0.4143060  4245.2902415
2020  1  7  4 57 45.000 -0.0670352  0.4143534  4245.5197273
2020  1  8  4 57 45.000 -0.0664746  0.4143432  4245.7491940
2020  1  9  4 57 45.000 -0.0659336  0.4142772  4245.9786752
2020  1 10  4 57 45.000 -0.0654448  0.4141611  4246.2082006
2020  1 11  4 57 45.000 -0.0650334  0.4140040  4246.4377935
2020  1 12  4 57 45.000 -0.0647158  0.4138163  4246.6674693
2020  1 13  4 57 45.000 -0.0644993  0.4136088  4246.8972353
2020  1 14  4 57 45.000 -0.0643842  0.4133910  4247.1270929
2020  1 15  4 57 45.000 -0.0643672  0.4131707  4247.3570399
2020  1 16  4 57 45.000 -0.0644440  0.4129539  4247.5870734
2020  1 17  4 57 45.000 -0.0646109  0.4127462  4247.8171910
2020  1 18  4 57 45.000 -0.0648651  0.4125528  4248.0473907
2020  1 19  4 57 45.000 -0.0652030  0.4123802  4248.2776701
2020  1 20  4 57 45.000 -0.0656184  0.4122353  4248.5080236
2020  1 21  4 57 45.000 -0.0660999  0.4121259  4248.7384413
2020  1 22  4 57 45.000 -0.0666302  0.4120593  4248.9689070
2020  1 23  4 57 45.000 -0.0671849  0.4120414  4249.1993985
2020  1 24  4 57 45.000 -0.0677342  0.4120757  4249.4298880
2020  1 25  4 57 45.000 -0.0682445  0.4121620  4249.6603445
2020  1 26  4 57 45.000 -0.0686822  0.4122965  4249.8907366
2020  1 27  4 57 45.000 -0.0690165  0.4124710  4250.1210354
2020  1 28  4 57 45.000 -0.0692227  0.4126741  4250.3512179
2020  1 29  4 57 45.000 -0.0692851  0.4128916  4250.5812690
2020  1 30  4 57 45.000 -0.0691983  0.4131079  4250.8111830
2020  1 31  4 57 45.000 -0.0689677  0.4133074  4251.0409645
2020  2  1  4 57 45.000 -0.0686097  0.4134756  4251.2706276
2020  2  2  4 57 45.000 -0.0681494  0.4136002  4251.5001947
2020  2  3  4 57 45.000 -0.0676191  0.4136726  4251.7296949
2020  2  4  4 57 45.000 -0.0670554  0.4136881  4251.9591610
2020  2  5  4 57 45.000 -0.0664958  0.4136463  4252.1886269
2020  2  6  4 57 45.000 -0.0659748  0.4135514  4252.4181239
2020  2  7  4 57 45.000 -0.0655214  0.4134108  4252.6476783
2020  2  8  4 57 45.000 -0.0651558  0.4132347  4252.8773091
2020  2  9  4 57 45.000 -0.0648891  0.4130338  4253.1070268
2020  2 10  4 57 45.000 -0.0647242  0.4128183  4253.3368350
2020  2 11  4 57 45.000 -0.0646588  0.4125966  4253.5667330
2020  2 12  4 57 45.000 -0.0646890  0.4123751  4253.7967185
2020  2 13  4 57 45.000 -0.0648116  0.4121593  4254.0267899
2020  2 14  4 57 45.000 -0.0650249  0.4119547  4254.2569468
2020  2 15  4 57 45.000 -0.0653274  0.4117674  4254.4871887
2020  2 16  4 57 45.000 -0.0657148  0.4116051  4254.7175125
2020  2 17  4 57 45.000 -0.0661781  0.4114758  4254.9479098
2020  2 18  4 57 45.000 -0.0667012  0.4113879  4255.1783663
2020  2 19  4 57 45.000 -0.0672610  0.4113482  4255.4088604
2020  2 20  4 57 45.000 -0.0678281  0.4113613  4255.6393649
2020  2 21  4 57 45.000 -0.0683690  0.4114284  4255.8698486
2020  2 22  4 57 45.000 -0.0688487  0.4115466  4256.1002789
2020  2 23  4 57 45.000 -0.0692345  0.4117093  4256.3306252
2020  2 24  4 57 45.000 -0.0694988  0.4119058  4256.5608617
2020  2 25  4 57 45.000 -0.0696223  0.4121228  4256.7909699
2020  2 26  4 57 45.000 -0.0695955  0.4123448  4257.0209406
2020  2 27  4 57 45.000 -0.0694202  0.4125560  4257.2507745
2020  2 28  4 57 45.000 -0.0691087  0.4127412  4257.4804826
2020  2 29  4 57 45.000 -0.0686832  0.4128874  4257.7100843
2020  3  1  4 57 45.000 -0.0681738  0.4129845  4257.9396064
2020  3  2  4 57 45.000 -0.0676154  0.4130263  4258.1690805
2020  3  3  4 57 45.000 -0.0670449  0.4130108  4258.3985396
2020  3  4  4 57 45.000 -0.0664979  0.4129402  4258.6280158
2020  3  5  4 57 45.000 -0.0660058  0.4128205  4258.8575375
2020  3  6  4 57 45.000 -0.0655924  0.4126604  4259.0871262
2020  3  7  4 57 45.000 -0.0652731  0.4124702  4259.3167964
2020  3  8  4 57 45.000 -0.0650546  0.4122604  4259.5465547
2020  3  9  4 57 45.000 -0.0649370  0.4120400  4259.7764019
2020  3 10  4 57 45.000 -0.0649168  0.4118164  4260.0063365
2020  3 11  4 57 45.000 -0.0649906  0.4115953  4260.2363567
2020  3 12  4 57 45.000 -0.0651568  0.4113818  4260.4664629
2020  3 13  4 57 45.000 -0.0654153  0.4111819  4260.6966563
2020  3 14  4 57 45.000 -0.0657643  0.4110030  4260.9269364
2020  3 15  4 57 45.000 -0.0661979  0.4108538  4261.1572985
2020  3 16  4 57 45.000 -0.0667027  0.4107432  4261.3877305
2020  3 17  4 57 45.000 -0.0672574  0.4106796  4261.6182131
2020  3 18  4 57 45.000 -0.0678335  0.4106686  4261.8487197
2020  3 19  4 57 45.000 -0.0683973  0.4107130  4262.0792190
2020  3 20  4 57 45.000 -0.0689131  0.4108113  4262.3096777
2020  3 21  4 57 45.000 -0.0693460  0.4109580  4262.5400634
2020  3 22  4 57 45.000 -0.0696660  0.4111436  4262.7703477
2020  3 23  4 57 45.000 -0.0698503  0.4113554  4263.0005092
2020  3 24  4 57 45.000 -0.0698858  0.4115785  4263.2305350
2020  3 25  4 57 45.000 -0.0697700  0.4117970  4263.4604224
2020  3 26  4 57 45.000 -0.0695116  0.4119953  4263.6901786
2020  3 27  4 57 45.000 -0.0691296  0.4121597  4263.9198203
2020  3 28  4 57 45.000 -0.0686512  0.4122789  4264.1493717
2020  3 29  4 57 45.000 -0.0681096  0.4123454  4264.3788624
2020  3 30  4 57 45.000 -0.0675407  0.4123557  4264.6083249
2020  3 31  4 57 45.000 -0.0669802  0.4123105  4264.8377912
2020  4  1  4 57 45.000 -0.0664604  0.4122141  4265.0672902
2020  4  2  4 57 45.000 -0.0660076  0.4120739  4265.2968458
2020  4  3  4 57 45.000 -0.0656405  0.4118992  4265.5264750
2020  4  4  4 57 45.000 -0.0653698  0.4117000  4265.7561874
2020  4  5  4 57 45.000 -0.0651987  0.4114857  4265.9859866
2020  4  6  4 57 45.000 -0.0651258  0.4112642  4266.2158722
2020  4  7  4 57 45.000 -0.0651480  0.4110416  4266.4458425
2020  4  8  4 57 45.000 -0.0652633  0.4108234  4266.6758972
2020  4  9  4 57 45.000 -0.0654717  0.4106149  4266.9060379
2020  4 10  4 57 45.000 -0.0657733  0.4104230  4267.1362664
2020  4 11  4 57 45.000 -0.0661651  0.4102562  4267.3665812
2020  4 12  4 57 45.000 -0.0666378  0.4101239  4267.5969744
2020  4 13  4 57 45.000 -0.0671733  0.4100355  4267.8274298
2020  4 14  4 57 45.000 -0.0677452  0.4099984  4268.0579234
2020  4 15  4 57 45.000 -0.0683203  0.4100169  4268.2884244
2020  4 16  4 57 45.000 -0.0688624  0.4100912  4268.5188992
2020  4 17  4 57 45.000 -0.0693351  0.4102172  4268.7493138
2020  4 18  4 57 45.000 -0.0697056  0.4103867  4268.9796376
2020  4 19  4 57 45.000 -0.0699482  0.4105880  4269.2098462
2020  4 20  4 57 45.000 -0.0700458  0.4108066  4269.4399236
2020  4 21  4 57 45.000 -0.0699923  0.4110269  4269.6698633
2020  4 22  4 57 45.000 -0.0697924  0.4112332  4269.8996690
2020  4 23  4 57 45.000 -0.0694615  0.4114110  4270.1293540
2020  4 24  4 57 45.000 -0.0690239  0.4115482  4270.3589401
2020  4 25  4 57 45.000 -0.0685105  0.4116361  4270.5884549
2020  4 26  4 57 45.000 -0.0679561  0.4116699  4270.8179295
2020  4 27  4 57 45.000 -0.0673959  0.4116488  4271.0473956
2020  4 28  4 57 45.000 -0.0668625  0.4115758  4271.2768826
2020  4 29  4 57 45.000 -0.0663836  0.4114572  4271.5064154
2020  4 30  4 57 45.000 -0.0659800  0.4113010  4271.7360127
2020  5  1  4 57 45.000 -0.0656649  0.4111165  4271.9656866
2020  5  2  4 57 45.000 -0.0654449  0.4109127  4272.1954432
2020  5  3  4 57 45.000 -0.0653211  0.4106977  4272.4252839
2020  5  4  4 57 45.000 -0.0652921  0.4104780  4272.6552081
2020  5  5  4 57 45.000 -0.0653562  0.4102591  4272.8852155
2020  5  6  4 57 45.000 -0.0655132  0.4100465  4273.1153071
2020  5  7  4 57 45.000 -0.0657640  0.4098463  4273.3454850
2020  5  8  4 57 45.000 -0.0661077  0.4096663  4273.5757499
2020  5  9  4 57 45.000 -0.0665385  0.4095159  4273.8060978
2020  5 10  4 57 45.000 -0.0670428  0.4094049  4274.0365167
2020  5 11  4 57 45.000 -0.0675975  0.4093421  4274.2669862
2020  5 12  4 57 45.000 -0.0681716  0.4093337  4274.4974777
2020  5 13  4 57 45.000 -0.0687291  0.4093816  4274.7279581
2020  5 14  4 57 45.000 -0.0692324  0.4094837  4274.9583925
2020  5 15  4 57 45.000 -0.0696467  0.4096332  4275.1887484
2020  5 16  4 57 45.000 -0.0699429  0.4098195  4275.4189987
2020  5 17  4 57 45.000 -0.0701006  0.4100290  4275.6491239
2020  5 18  4 57 45.000 -0.0701095  0.4102466  4275.8791141
2020  5 19  4 57 45.000 -0.0699705  0.4104563  4276.1089694
2020  5 20  4 57 45.000 -0.0696952  0.4106433  4276.3386998
2020  5 21  4 57 45.000 -0.0693047  0.4107948  4276.5683239
2020  5 22  4 57 45.000 -0.0688275  0.4109007  4276.7978673
2020  5 23  4 57 45.000 -0.0682967  0.4109552  4277.0273597
2020  5 24  4 57 45.000 -0.0677469  0.4109562  4277.2568322
2020  5 25  4 57 45.000 -0.0672111  0.4109053  4277.4863145
2020  5 26  4 57 45.000 -0.0667176  0.4108077  4277.7158322
2020  5 27  4 57 45.000 -0.0662887  0.4106706  4277.9454054
2020  5 28  4 57 45.000 -0.0659395  0.4105025  4278.1750478
2020  5 29  4 57 45.000 -0.0656786  0.4103118  4278.4047674
2020  5 30  4 57 45.000 -0.0655094  0.4101063  4278.6345676
2020  5 31  4 57 45.000 -0.0654324  0.4098925  4278.8644493
2020  6  1  4 57 45.000 -0.0654474  0.4096762  4279.0944130
2020  6  2  4 57 45.000 -0.0655549  0.4094626  4279.3244601
2020  6  3  4 57 45.000 -0.0657562  0.4092577  4279.5545927
2020  6  4  4 57 45.000 -0.0660517  0.4090688  4279.7848125
2020  6  5  4 57 45.000 -0.0664382  0.4089046  4280.0151174
2020  6  6  4 57 45.000 -0.0669056  0.4087750  4280.2454991
2020  6  7  4 57 45.000 -0.0674351  0.4086895  4280.4759410
2020  6  8  4 57 45.000 -0.0679988  0.4086557  4280.7064180
2020  6  9  4 57 45.000 -0.0685624  0.4086776  4280.9368984
2020  6 10  4 57 45.000 -0.0690881  0.4087549  4281.1673475
2020  6 11  4 57 45.000 -0.0695392  0.4088828  4281.3977314
2020  6 12  4 57 45.000 -0.0698840  0.4090519  4281.6280204
2020  6 13  4 57 45.000 -0.0700983  0.4092498  4281.8581918
