Time scale            : UTC/GMT
Object                : TT - TDB
Planetary theory      : EPM2017 (http://iaaras.ru/en/dept/ephemeris/epm/2017)

          Date            TT-TDB   Distance(km) 
YYYY MM DD HH MM SS.sss     ms   
2019 10 31  4 57 45.000  1.532349
2019 11  1  4 57 45.000  1.519516
2019 11  2  4 57 45.000  1.506282
2019 11  3  4 57 45.000  1.492656
2019 11  4  4 57 45.000  1.478646
2019 11  5  4 57 45.000  1.464255
2019 11  6  4 57 45.000  1.449486
2019 11  7  4 57 45.000  1.434339
2019 11  8  4 57 45.000  1.418813
2019 11  9  4 57 45.000  1.402907
2019 11 10  4 57 45.000  1.386616
2019 11 11  4 57 45.000  1.369936
2019 11 12  4 57 45.000  1.352859
2019 11 13  4 57 45.000  1.335379
2019 11 14  4 57 45.000  1.317485
2019 11 15  4 57 45.000  1.299170
2019 11 16  4 57 45.000  1.280425
2019 11 17  4 57 45.000  1.261243
2019 11 18  4 57 45.000  1.241617
2019 11 19  4 57 45.000  1.221545
2019 11 20  4 57 45.000  1.201026
2019 11 21  4 57 45.000  1.180066
2019 11 22  4 57 45.000  1.158672
2019 11 23  4 57 45.000  1.136857
2019 11 24  4 57 45.000  1.114639
2019 11 25  4 57 45.000  1.092039
2019 11 26  4 57 45.000  1.069080
2019 11 27  4 57 45.000  1.045787
2019 11 28  4 57 45.000  1.022183
2019 11 29  4 57 45.000  0.998292
2019 11 30  4 57 45.000  0.974134
2019 12  1  4 57 45.000  0.949725
2019 12  2  4 57 45.000  0.925082
2019 12  3  4 57 45.000  0.900215
2019 12  4  4 57 45.000  0.875137
2019 12  5  4 57 45.000  0.849853
2019 12  6  4 57 45.000  0.824372
2019 12  7  4 57 45.000  0.798698
2019 12  8  4 57 45.000  0.772835
2019 12  9  4 57 45.000  0.746783
2019 12 10  4 57 45.000  0.720542
2019 12 11  4 57 45.000  0.694108
2019 12 12  4 57 45.000  0.667478
2019 12 13  4 57 45.000  0.640644
2019 12 14  4 57 45.000  0.613599
2019 12 15  4 57 45.000  0.586336
2019 12 16  4 57 45.000  0.558847
2019 12 17  4 57 45.000  0.531129
2019 12 18  4 57 45.000  0.503180
2019 12 19  4 57 45.000  0.475003
2019 12 20  4 57 45.000  0.446604
2019 12 21  4 57 45.000  0.417994
2019 12 22  4 57 45.000  0.389189
2019 12 23  4 57 45.000  0.360206
2019 12 24  4 57 45.000  0.331068
2019 12 25  4 57 45.000  0.301799
2019 12 26  4 57 45.000  0.272422
2019 12 27  4 57 45.000  0.242964
2019 12 28  4 57 45.000  0.213447
2019 12 29  4 57 45.000  0.183894
2019 12 30  4 57 45.000  0.154324
2019 12 31  4 57 45.000  0.124756
2020  1  1  4 57 45.000  0.095207
2020  1  2  4 57 45.000  0.065689
2020  1  3  4 57 45.000  0.036215
2020  1  4  4 57 45.000  0.006796
2020  1  5  4 57 45.000 -0.022559
2020  1  6  4 57 45.000 -0.051844
2020  1  7  4 57 45.000 -0.081054
2020  1  8  4 57 45.000 -0.110187
2020  1  9  4 57 45.000 -0.139245
2020  1 10  4 57 45.000 -0.168231
2020  1 11  4 57 45.000 -0.197152
2020  1 12  4 57 45.000 -0.226016
2020  1 13  4 57 45.000 -0.254833
2020  1 14  4 57 45.000 -0.283609
2020  1 15  4 57 45.000 -0.312351
2020  1 16  4 57 45.000 -0.341061
2020  1 17  4 57 45.000 -0.369737
2020  1 18  4 57 45.000 -0.398371
2020  1 19  4 57 45.000 -0.426953
2020  1 20  4 57 45.000 -0.455468
2020  1 21  4 57 45.000 -0.483900
2020  1 22  4 57 45.000 -0.512228
2020  1 23  4 57 45.000 -0.540430
2020  1 24  4 57 45.000 -0.568485
2020  1 25  4 57 45.000 -0.596369
2020  1 26  4 57 45.000 -0.624061
2020  1 27  4 57 45.000 -0.651540
2020  1 28  4 57 45.000 -0.678786
2020  1 29  4 57 45.000 -0.705780
2020  1 30  4 57 45.000 -0.732507
2020  1 31  4 57 45.000 -0.758949
2020  2  1  4 57 45.000 -0.785095
2020  2  2  4 57 45.000 -0.810933
2020  2  3  4 57 45.000 -0.836452
2020  2  4  4 57 45.000 -0.861645
2020  2  5  4 57 45.000 -0.886506
2020  2  6  4 57 45.000 -0.911034
2020  2  7  4 57 45.000 -0.935230
2020  2  8  4 57 45.000 -0.959099
2020  2  9  4 57 45.000 -0.982649
2020  2 10  4 57 45.000 -1.005894
2020  2 11  4 57 45.000 -1.028844
2020  2 12  4 57 45.000 -1.051512
2020  2 13  4 57 45.000 -1.073907
2020  2 14  4 57 45.000 -1.096034
2020  2 15  4 57 45.000 -1.117894
2020  2 16  4 57 45.000 -1.139483
2020  2 17  4 57 45.000 -1.160793
2020  2 18  4 57 45.000 -1.181813
2020  2 19  4 57 45.000 -1.202530
2020  2 20  4 57 45.000 -1.222927
2020  2 21  4 57 45.000 -1.242989
2020  2 22  4 57 45.000 -1.262697
2020  2 23  4 57 45.000 -1.282033
2020  2 24  4 57 45.000 -1.300979
2020  2 25  4 57 45.000 -1.319518
2020  2 26  4 57 45.000 -1.337632
2020  2 27  4 57 45.000 -1.355306
2020  2 28  4 57 45.000 -1.372525
2020  2 29  4 57 45.000 -1.389276
2020  3  1  4 57 45.000 -1.405546
2020  3  2  4 57 45.000 -1.421324
2020  3  3  4 57 45.000 -1.436602
2020  3  4  4 57 45.000 -1.451374
2020  3  5  4 57 45.000 -1.465636
2020  3  6  4 57 45.000 -1.479388
2020  3  7  4 57 45.000 -1.492632
2020  3  8  4 57 45.000 -1.505378
2020  3  9  4 57 45.000 -1.517639
2020  3 10  4 57 45.000 -1.529429
2020  3 11  4 57 45.000 -1.540765
2020  3 12  4 57 45.000 -1.551666
2020  3 13  4 57 45.000 -1.562145
2020  3 14  4 57 45.000 -1.572211
2020  3 15  4 57 45.000 -1.581870
2020  3 16  4 57 45.000 -1.591123
2020  3 17  4 57 45.000 -1.599968
2020  3 18  4 57 45.000 -1.608398
2020  3 19  4 57 45.000 -1.616406
2020  3 20  4 57 45.000 -1.623982
2020  3 21  4 57 45.000 -1.631115
2020  3 22  4 57 45.000 -1.637792
2020  3 23  4 57 45.000 -1.644002
2020  3 24  4 57 45.000 -1.649732
2020  3 25  4 57 45.000 -1.654969
2020  3 26  4 57 45.000 -1.659699
2020  3 27  4 57 45.000 -1.663911
2020  3 28  4 57 45.000 -1.667594
2020  3 29  4 57 45.000 -1.670735
2020  3 30  4 57 45.000 -1.673327
2020  3 31  4 57 45.000 -1.675360
2020  4  1  4 57 45.000 -1.676828
2020  4  2  4 57 45.000 -1.677729
2020  4  3  4 57 45.000 -1.678060
2020  4  4  4 57 45.000 -1.677824
2020  4  5  4 57 45.000 -1.677028
2020  4  6  4 57 45.000 -1.675685
2020  4  7  4 57 45.000 -1.673809
2020  4  8  4 57 45.000 -1.671422
2020  4  9  4 57 45.000 -1.668544
2020  4 10  4 57 45.000 -1.665197
2020  4 11  4 57 45.000 -1.661400
2020  4 12  4 57 45.000 -1.657167
2020  4 13  4 57 45.000 -1.652508
2020  4 14  4 57 45.000 -1.647431
2020  4 15  4 57 45.000 -1.641937
2020  4 16  4 57 45.000 -1.636029
2020  4 17  4 57 45.000 -1.629702
2020  4 18  4 57 45.000 -1.622955
2020  4 19  4 57 45.000 -1.615781
2020  4 20  4 57 45.000 -1.608175
2020  4 21  4 57 45.000 -1.600130
2020  4 22  4 57 45.000 -1.591638
2020  4 23  4 57 45.000 -1.582691
2020  4 24  4 57 45.000 -1.573279
2020  4 25  4 57 45.000 -1.563395
2020  4 26  4 57 45.000 -1.553029
2020  4 27  4 57 45.000 -1.542174
2020  4 28  4 57 45.000 -1.530821
2020  4 29  4 57 45.000 -1.518967
2020  4 30  4 57 45.000 -1.506606
2020  5  1  4 57 45.000 -1.493737
2020  5  2  4 57 45.000 -1.480363
2020  5  3  4 57 45.000 -1.466488
2020  5  4  4 57 45.000 -1.452124
2020  5  5  4 57 45.000 -1.437284
2020  5  6  4 57 45.000 -1.421988
2020  5  7  4 57 45.000 -1.406259
2020  5  8  4 57 45.000 -1.390121
2020  5  9  4 57 45.000 -1.373597
2020  5 10  4 57 45.000 -1.356711
2020  5 11  4 57 45.000 -1.339479
2020  5 12  4 57 45.000 -1.321917
2020  5 13  4 57 45.000 -1.304038
2020  5 14  4 57 45.000 -1.285847
2020  5 15  4 57 45.000 -1.267353
2020  5 16  4 57 45.000 -1.248557
2020  5 17  4 57 45.000 -1.229462
