	Run #6	Run #6	Run #6	Run #6	Run #6
	Date and Time	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
	11/01/2020 02:14:00 pm	0.000	0.566		
	11/01/2020 02:14:00 pm	0.004	0.566	0.24	
	11/01/2020 02:14:00 pm	0.008	0.567	0.23	-3.6
	11/01/2020 02:14:00 pm	0.012	0.568	0.21	9.6
	11/01/2020 02:14:00 pm	0.016	0.569	0.34	4.6
	11/01/2020 02:14:00 pm	0.020	0.569	0.36	-8.1
	11/01/2020 02:14:00 pm	0.024	0.574	0.19	-18.5
	11/01/2020 02:14:00 pm	0.028	0.572	0.16	-11.2
	11/01/2020 02:14:00 pm	0.032	0.571	0.10	0.7
	11/01/2020 02:14:00 pm	0.036	0.576	0.19	4.4
	11/01/2020 02:14:00 pm	0.040	0.572	0.18	4.1
	11/01/2020 02:14:00 pm	0.044	0.576	0.18	-5.5
	11/01/2020 02:14:00 pm	0.048	0.576	0.20	-13.2
	11/01/2020 02:14:00 pm	0.052	0.576	0.04	-13.4
	11/01/2020 02:14:00 pm	0.056	0.576	0.01	-11.4
	11/01/2020 02:14:00 pm	0.060	0.577	0.05	-10.4
	11/01/2020 02:14:00 pm	0.064	0.576	-0.09	-13.3
	11/01/2020 02:14:00 pm	0.068	0.578	-0.12	-12.3
	11/01/2020 02:14:00 pm	0.072	0.573	-0.14	-9.8
	11/01/2020 02:14:00 pm	0.076	0.577	-0.19	-7.3
	11/01/2020 02:14:00 pm	0.080	0.574	-0.25	10.4
	11/01/2020 02:14:00 pm	0.084	0.573	-0.18	29.8
	11/01/2020 02:14:00 pm	0.088	0.571	0.10	23.4
	11/01/2020 02:14:00 pm	0.092	0.575	0.17	-14.9
	11/01/2020 02:14:00 pm	0.096	0.574	-0.05	-46.6
	11/01/2020 02:14:00 pm	0.100	0.574	-0.39	-40.9
	11/01/2020 02:14:00 pm	0.104	0.571	-0.45	-8.2
	11/01/2020 02:14:00 pm	0.108	0.569	-0.40	16.1
	11/01/2020 02:14:00 pm	0.112	0.569	-0.24	15.0
	11/01/2020 02:14:00 pm	0.116	0.567	-0.22	4.3
	11/01/2020 02:14:00 pm	0.120	0.567	-0.27	-5.0
	11/01/2020 02:14:00 pm	0.124	0.565	-0.26	-6.6
	11/01/2020 02:14:00 pm	0.128	0.564	-0.32	-5.8
	11/01/2020 02:14:00 pm	0.132	0.563	-0.33	-5.5
	11/01/2020 02:14:00 pm	0.136	0.561	-0.34	-0.4
	11/01/2020 02:14:00 pm	0.140	0.560	-0.37	-4.1
	11/01/2020 02:14:00 pm	0.144	0.559	-0.29	-10.9
	11/01/2020 02:14:00 pm	0.148	0.556	-0.48	-16.2
	11/01/2020 02:14:00 pm	0.152	0.558	-0.49	-10.6
	11/01/2020 02:14:00 pm	0.156	0.550	-0.56	2.8
	11/01/2020 02:14:00 pm	0.160	0.554	-0.46	5.2
	11/01/2020 02:14:00 pm	0.164	0.547	-0.44	4.3
	11/01/2020 02:14:00 pm	0.168	0.550	-0.48	-3.9
	11/01/2020 02:14:00 pm	0.172	0.543	-0.43	-9.5
	11/01/2020 02:14:00 pm	0.176	0.546	-0.56	-14.1
	11/01/2020 02:14:00 pm	0.180	0.540	-0.59	-9.9
	11/01/2020 02:14:00 pm	0.184	0.539	-0.67	0.6
	11/01/2020 02:14:00 pm	0.188	0.536	-0.57	5.8
	11/01/2020 02:14:00 pm	0.192	0.534	-0.57	4.0
	11/01/2020 02:14:00 pm	0.196	0.532	-0.55	-2.3
	11/01/2020 02:14:00 pm	0.200	0.530	-0.59	-3.7
	11/01/2020 02:14:00 pm	0.204	0.527	-0.60	-3.4
	11/01/2020 02:14:00 pm	0.208	0.524	-0.60	-2.4
	11/01/2020 02:14:00 pm	0.212	0.522	-0.62	-4.6
	11/01/2020 02:14:00 pm	0.216	0.520	-0.64	-4.9
	11/01/2020 02:14:00 pm	0.220	0.517	-0.68	-2.5
	11/01/2020 02:14:00 pm	0.224	0.515	-0.66	-1.7
	11/01/2020 02:14:00 pm	0.228	0.511	-0.65	-3.1
	11/01/2020 02:14:00 pm	0.232	0.510	-0.70	-3.5
	11/01/2020 02:14:00 pm	0.236	0.506	-0.71	-2.9
	11/01/2020 02:14:00 pm	0.240	0.503	-0.69	-8.9
	11/01/2020 02:14:00 pm	0.244	0.501	-0.74	-20.3
	11/01/2020 02:14:00 pm	0.248	0.498	-0.88	-15.0
	11/01/2020 02:14:00 pm	0.252	0.493	-1.00	8.6
	11/01/2020 02:14:00 pm	0.256	0.490	-0.79	22.7
	11/01/2020 02:14:00 pm	0.260	0.486	-0.63	10.6
	11/01/2020 02:14:00 pm	0.264	0.487	-0.70	-12.8
	11/01/2020 02:14:00 pm	0.268	0.481	-0.83	-15.4
	11/01/2020 02:14:00 pm	0.272	0.478	-0.90	-4.5
	11/01/2020 02:14:00 pm	0.276	0.475	-0.81	3.5
	11/01/2020 02:14:00 pm	0.280	0.471	-0.83	4.9
	11/01/2020 02:14:00 pm	0.284	0.468	-0.81	1.7
	11/01/2020 02:14:00 pm	0.288	0.465	-0.78	-0.8
	11/01/2020 02:14:00 pm	0.292	0.462	-0.82	-4.2
	11/01/2020 02:14:00 pm	0.296	0.459	-0.84	-2.7
	11/01/2020 02:14:00 pm	0.300	0.454	-0.85	1.3
	11/01/2020 02:14:00 pm	0.304	0.452	-0.82	2.3
	11/01/2020 02:14:00 pm	0.308	0.448	-0.81	-6.2
	11/01/2020 02:14:00 pm	0.312	0.445	-0.82	-17.5
	11/01/2020 02:14:00 pm	0.316	0.442	-1.00	-13.2
	11/01/2020 02:14:00 pm	0.320	0.439	-1.06	9.2
	11/01/2020 02:14:00 pm	0.324	0.431	-0.89	28.1
	11/01/2020 02:14:00 pm	0.328	0.431	-0.70	17.5
	11/01/2020 02:14:00 pm	0.332	0.428	-0.68	-5.0
	11/01/2020 02:14:00 pm	0.336	0.425	-0.85	-14.5
	11/01/2020 02:14:00 pm	0.340	0.421	-0.86	-8.2
	11/01/2020 02:14:00 pm	0.344	0.418	-0.86	-0.6
	11/01/2020 02:14:00 pm	0.348	0.414	-0.86	0.6
	11/01/2020 02:14:00 pm	0.352	0.410	-0.87	1.1
	11/01/2020 02:14:00 pm	0.356	0.408	-0.84	-0.5
	11/01/2020 02:14:00 pm	0.360	0.404	-0.85	-3.2
	11/01/2020 02:14:00 pm	0.364	0.401	-0.89	-5.2
	11/01/2020 02:14:00 pm	0.368	0.397	-0.90	-4.1
	11/01/2020 02:14:00 pm	0.372	0.393	-0.92	-2.1
	11/01/2020 02:14:00 pm	0.376	0.390	-0.92	-1.1
	11/01/2020 02:14:00 pm	0.380	0.386	-0.92	-0.5
	11/01/2020 02:14:00 pm	0.384	0.382	-0.93	0.1
	11/01/2020 02:14:00 pm	0.388	0.379	-0.92	2.1
	11/01/2020 02:14:00 pm	0.392	0.374	-0.91	3.9
	11/01/2020 02:14:00 pm	0.396	0.371	-0.89	2.9
