	Run #8	Run #8	Run #8	Run #8	Run #8
	Date and Time	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
	11/01/2020 02:29:00 pm	0.000	0.282		
	11/01/2020 02:29:00 pm	0.004	0.279	-0.66	
	11/01/2020 02:29:00 pm	0.008	0.277	-0.69	-3.7
	11/01/2020 02:29:00 pm	0.012	0.273	-0.69	1.6
	11/01/2020 02:29:00 pm	0.016	0.271	-0.67	3.2
	11/01/2020 02:29:00 pm	0.020	0.268	-0.64	2.2
	11/01/2020 02:29:00 pm	0.024	0.266	-0.66	1.4
	11/01/2020 02:29:00 pm	0.028	0.263	-0.65	3.6
	11/01/2020 02:29:00 pm	0.032	0.260	-0.63	5.9
	11/01/2020 02:29:00 pm	0.036	0.258	-0.59	4.8
	11/01/2020 02:29:00 pm	0.040	0.255	-0.58	2.9
	11/01/2020 02:29:00 pm	0.044	0.253	-0.58	1.4
	11/01/2020 02:29:00 pm	0.048	0.251	-0.57	1.2
	11/01/2020 02:29:00 pm	0.052	0.249	-0.57	6.3
	11/01/2020 02:29:00 pm	0.056	0.247	-0.57	12.2
	11/01/2020 02:29:00 pm	0.060	0.244	-0.43	13.6
	11/01/2020 02:29:00 pm	0.064	0.242	-0.41	7.8
	11/01/2020 02:29:00 pm	0.068	0.243	-0.40	1.6
	11/01/2020 02:29:00 pm	0.072	0.238	-0.41	2.8
	11/01/2020 02:29:00 pm	0.076	0.239	-0.39	2.2
	11/01/2020 02:29:00 pm	0.080	0.236	-0.35	-0.4
	11/01/2020 02:29:00 pm	0.084	0.235	-0.41	-1.9
	11/01/2020 02:29:00 pm	0.088	0.233	-0.41	0.4
	11/01/2020 02:29:00 pm	0.092	0.232	-0.38	3.6
	11/01/2020 02:29:00 pm	0.096	0.230	-0.37	3.6
	11/01/2020 02:29:00 pm	0.100	0.229	-0.36	3.1
	11/01/2020 02:29:00 pm	0.104	0.227	-0.34	4.1
	11/01/2020 02:29:00 pm	0.108	0.226	-0.34	4.7
	11/01/2020 02:29:00 pm	0.112	0.225	-0.29	2.7
	11/01/2020 02:29:00 pm	0.116	0.223	-0.29	4.3
	11/01/2020 02:29:00 pm	0.120	0.223	-0.32	7.4
	11/01/2020 02:29:00 pm	0.124	0.221	-0.21	10.4
	11/01/2020 02:29:00 pm	0.128	0.219	-0.20	9.4
	11/01/2020 02:29:00 pm	0.132	0.222	-0.16	6.3
	11/01/2020 02:29:00 pm	0.136	0.218	-0.14	6.6
	11/01/2020 02:29:00 pm	0.140	0.219	-0.12	0.8
	11/01/2020 02:29:00 pm	0.144	0.218	-0.09	-5.1
	11/01/2020 02:29:00 pm	0.148	0.218	-0.20	-6.0
	11/01/2020 02:29:00 pm	0.152	0.217	-0.18	-0.2
	11/01/2020 02:29:00 pm	0.156	0.216	-0.16	5.8
	11/01/2020 02:29:00 pm	0.160	0.216	-0.12	5.3
	11/01/2020 02:29:00 pm	0.164	0.215	-0.12	4.1
	11/01/2020 02:29:00 pm	0.168	0.215	-0.10	2.7
	11/01/2020 02:29:00 pm	0.172	0.214	-0.09	2.4
	11/01/2020 02:29:00 pm	0.176	0.214	-0.09	2.2
	11/01/2020 02:29:00 pm	0.180	0.214	-0.07	3.7
	11/01/2020 02:29:00 pm	0.184	0.213	-0.06	5.5
	11/01/2020 02:29:00 pm	0.188	0.213	-0.02	4.8
	11/01/2020 02:29:00 pm	0.192	0.213	-0.01	2.5
	11/01/2020 02:29:00 pm	0.196	0.213	-0.02	1.2
	11/01/2020 02:29:00 pm	0.200	0.213	-0.01	3.3
	11/01/2020 02:29:00 pm	0.204	0.213	0.01	5.7
	11/01/2020 02:29:00 pm	0.208	0.213	0.05	5.8
	11/01/2020 02:29:00 pm	0.212	0.213	0.06	5.0
	11/01/2020 02:29:00 pm	0.216	0.214	0.08	3.8
	11/01/2020 02:29:00 pm	0.220	0.214	0.10	2.6
	11/01/2020 02:29:00 pm	0.224	0.215	0.10	0.8
	11/01/2020 02:29:00 pm	0.228	0.215	0.10	0.8
	11/01/2020 02:29:00 pm	0.232	0.215	0.10	3.3
	11/01/2020 02:29:00 pm	0.236	0.216	0.12	5.4
	11/01/2020 02:29:00 pm	0.240	0.216	0.16	6.2
	11/01/2020 02:29:00 pm	0.244	0.217	0.17	1.5
	11/01/2020 02:29:00 pm	0.248	0.218	0.20	-6.7
	11/01/2020 02:29:00 pm	0.252	0.218	0.12	-11.1
	11/01/2020 02:29:00 pm	0.256	0.219	0.05	-4.1
	11/01/2020 02:29:00 pm	0.260	0.218	0.05	11.8
	11/01/2020 02:29:00 pm	0.264	0.219	0.16	18.2
	11/01/2020 02:29:00 pm	0.268	0.220	0.28	12.8
	11/01/2020 02:29:00 pm	0.272	0.221	0.26	4.6
	11/01/2020 02:29:00 pm	0.276	0.222	0.27	3.1
	11/01/2020 02:29:00 pm	0.280	0.223	0.29	6.4
	11/01/2020 02:29:00 pm	0.284	0.225	0.33	5.8
	11/01/2020 02:29:00 pm	0.288	0.226	0.35	5.0
	11/01/2020 02:29:00 pm	0.292	0.227	0.34	3.5
	11/01/2020 02:29:00 pm	0.296	0.229	0.39	2.7
	11/01/2020 02:29:00 pm	0.300	0.230	0.37	-1.4
	11/01/2020 02:29:00 pm	0.304	0.232	0.39	-4.3
	11/01/2020 02:29:00 pm	0.308	0.233	0.31	-2.3
	11/01/2020 02:29:00 pm	0.312	0.236	0.35	4.2
	11/01/2020 02:29:00 pm	0.316	0.234	0.36	10.8
	11/01/2020 02:29:00 pm	0.320	0.239	0.44	6.7
	11/01/2020 02:29:00 pm	0.324	0.238	0.48	1.5
	11/01/2020 02:29:00 pm	0.328	0.242	0.39	-1.7
	11/01/2020 02:29:00 pm	0.332	0.242	0.44	4.5
	11/01/2020 02:29:00 pm	0.336	0.244	0.43	10.8
	11/01/2020 02:29:00 pm	0.340	0.247	0.54	8.9
	11/01/2020 02:29:00 pm	0.344	0.248	0.55	5.4
	11/01/2020 02:29:00 pm	0.348	0.251	0.54	2.6
	11/01/2020 02:29:00 pm	0.352	0.253	0.57	5.0
	11/01/2020 02:29:00 pm	0.356	0.255	0.59	5.8
	11/01/2020 02:29:00 pm	0.360	0.258	0.62	3.2
	11/01/2020 02:29:00 pm	0.364	0.260	0.62	1.7
	11/01/2020 02:29:00 pm	0.368	0.263	0.61	2.0
	11/01/2020 02:29:00 pm	0.372	0.265	0.64	4.3
	11/01/2020 02:29:00 pm	0.376	0.268	0.65	5.5
	11/01/2020 02:29:00 pm	0.380	0.271	0.68	5.0
	11/01/2020 02:29:00 pm	0.384	0.273	0.70	4.0
	11/01/2020 02:29:00 pm	0.388	0.276	0.72	1.4
	11/01/2020 02:29:00 pm	0.392	0.279	0.72	0.0
	11/01/2020 02:29:00 pm	0.396	0.282	0.70	0.9
	11/01/2020 02:29:00 pm	0.400	0.285	0.72	4.2
	11/01/2020 02:29:00 pm	0.404	0.287	0.74	6.3
	11/01/2020 02:29:00 pm	0.408	0.291	0.78	5.0
	11/01/2020 02:29:00 pm	0.412	0.294	0.79	2.4
	11/01/2020 02:29:00 pm	0.416	0.297	0.79	-0.9
	11/01/2020 02:29:00 pm	0.420	0.300	0.78	-1.4
	11/01/2020 02:29:00 pm	0.424	0.303	0.76	0.8
	11/01/2020 02:29:00 pm	0.428	0.306	0.78	4.6
	11/01/2020 02:29:00 pm	0.432	0.309	0.81	6.3
	11/01/2020 02:29:00 pm	0.436	0.313	0.84	3.5
