"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.156978650E-1,6.804093719E-4,2.228736877E-3,-1.027904153E-1
1.208524480E-1,-2.018593252E-3,4.331588745E-3,-7.510714233E-2
1.260070310E-1,-1.367837191E-2,-4.941940308E-3,-5.269576609E-2
1.311616150E-1,-1.230549812E-2,-1.484584808E-2,-1.932203770E-2
1.363161980E-1,-3.148524463E-2,-7.267951965E-3,2.591758966E-2
1.414707810E-1,-4.403477907E-2,-2.055644989E-2,3.146877885E-2
1.466158850E-1,-3.789769858E-2,-5.903244019E-3,4.247647524E-2
1.516695310E-1,-3.663114458E-2,1.607036591E-2,3.255605698E-2
1.567230730E-1,-3.423465043E-2,3.254127502E-2,1.287275553E-2
1.617766670E-1,-4.812178016E-2,2.496719360E-3,-1.045244932E-2
1.668302600E-1,-3.498752415E-2,1.235961914E-3,-1.091074944E-2
1.718839060E-1,-2.687354386E-2,5.782127380E-3,-1.711001992E-2
1.769375000E-1,-2.480353415E-2,1.708316803E-2,4.648774862E-3
1.819910420E-1,-1.005561650E-2,1.184749603E-2,1.291039586E-2
1.870446880E-1,-7.477179170E-3,6.803512573E-3,1.519742608E-2
1.920982810E-1,-1.480311155E-3,8.886337280E-3,1.601743698E-2
1.971518230E-1,7.878988981E-4,9.749412537E-3,-5.107313395E-3
2.022054170E-1,-8.612364531E-3,4.804611206E-3,-3.159800172E-2
2.072590630E-1,-1.083151996E-2,1.172065735E-3,-4.910305142E-2
2.123126040E-1,2.228289843E-3,-8.160591125E-3,-6.735886633E-2
2.173662500E-1,-8.322879672E-3,-2.118110657E-3,-5.941942334E-2
2.224198440E-1,3.760069609E-3,6.084442139E-3,-6.804299355E-2
2.274733850E-1,2.768665552E-3,-2.239227295E-3,-6.813944876E-2
2.325269790E-1,-3.916472197E-3,1.412963867E-2,-6.932897866E-2
2.375806250E-1,3.595009446E-3,3.260612488E-3,-5.879715085E-2
2.426342190E-1,1.679974794E-2,-5.001068115E-3,-7.657907903E-2
2.476878130E-1,3.316820413E-2,-8.391380310E-3,-9.982854128E-2
2.527414060E-1,3.041028976E-2,-5.865097046E-3,-1.260448694E-1
2.577950000E-1,3.588693589E-2,-1.626300812E-2,-1.201848984E-1
2.628485940E-1,5.990073085E-2,-1.824092865E-2,-1.216171458E-1
2.679021880E-1,3.989610821E-2,-9.650230408E-3,-9.747989476E-2
2.729557810E-1,3.075280786E-2,1.514434814E-2,-9.038354456E-2
2.780093750E-1,1.837635040E-2,1.130390167E-2,-7.193045318E-2
2.830629690E-1,1.665180922E-2,-6.517410278E-3,-4.221747816E-2
2.881165630E-1,6.715491414E-3,6.511688232E-3,-3.664198518E-2
2.931701560E-1,4.833415151E-4,-7.698059082E-3,-2.188405395E-2
2.982237500E-1,7.224880159E-3,3.016471863E-3,-1.461429894E-2
3.032773440E-1,-1.777053624E-2,-1.739501953E-3,-8.500054479E-3
3.083309380E-1,-2.329725027E-2,1.473331451E-2,-2.817638218E-2
3.133845310E-1,-1.582185924E-2,1.327610016E-2,-9.677976370E-3
3.184381250E-1,-1.651841402E-2,7.148742676E-3,-7.408410311E-4
3.234917190E-1,-6.612658501E-3,3.487586975E-3,-2.649843693E-3
3.285453130E-1,-8.718550205E-3,8.123397827E-3,1.628398895E-4
3.335989060E-1,-9.554088116E-3,-6.139755249E-3,2.897292376E-3
3.386525000E-1,-1.760347188E-2,2.195358276E-3,7.744580507E-4
3.437060940E-1,-3.263272345E-2,-3.733634949E-3,-1.306954026E-2
3.487596880E-1,-4.962708056E-2,-8.382797241E-3,-2.455903590E-2
3.538132810E-1,-6.990894675E-2,8.243560791E-3,-3.242662549E-2
3.588668750E-1,-9.351059794E-2,9.293556213E-3,-3.791134059E-2
3.639204690E-1,-8.259809017E-2,-8.521080017E-3,-3.877343237E-2
3.689740630E-1,-9.438712895E-2,1.047134399E-3,-2.320554852E-2
3.740276560E-1,-1.097515821E-1,-2.254104614E-2,-1.737019420E-2
3.790812500E-1,-1.261207610E-1,-1.040458679E-2,-9.462654591E-3
3.841348440E-1,-1.244490296E-1,1.452541351E-2,1.146656275E-2
3.891884380E-1,-1.368215531E-1,1.078605652E-2,9.664326906E-3
3.942420310E-1,-1.465197951E-1,8.279800415E-3,1.044589281E-2
3.992956250E-1,-1.478345692E-1,-4.812240601E-3,7.678255439E-3
4.043492190E-1,-1.433321685E-1,-2.374649048E-3,1.310917735E-2
4.094028130E-1,-1.377027929E-1,-1.532173157E-2,2.566109598E-2
4.144564060E-1,-1.416555643E-1,-1.510620117E-2,-5.706220865E-3
4.195100000E-1,-1.147428900E-1,2.825737000E-3,5.296753347E-2
4.245635940E-1,-7.308098674E-2,3.984451294E-3,1.201536506E-1
4.296171880E-1,-3.438442945E-2,-2.323532104E-2,7.813358307E-2
4.346707810E-1,-5.050501227E-2,-5.208015442E-3,6.634216011E-2
4.397243750E-1,-7.197280228E-2,1.731967926E-2,4.183892906E-2
4.447779690E-1,-8.438710868E-2,1.829528809E-2,-7.002785802E-3
4.498315630E-1,-4.350720346E-2,-4.392623901E-3,-3.005531430E-2
4.548851560E-1,1.201659441E-2,-9.069442749E-3,3.104962409E-2
4.599387500E-1,-1.844133437E-2,1.114654541E-2,5.449056625E-2
4.649923440E-1,-1.901845634E-2,8.660316467E-3,6.665080786E-2
4.700459380E-1,-9.004727006E-3,2.656936646E-3,6.792546809E-2
4.750995310E-1,-3.214442730E-2,-2.094268799E-3,6.570659578E-2
4.801531250E-1,-3.129744530E-2,-4.426956177E-3,3.169319034E-2
4.852067190E-1,-1.611135900E-2,-5.545616150E-3,4.077106714E-4
4.902603130E-1,-1.056714356E-2,1.630783081E-3,-1.032984257E-2
4.953139060E-1,-1.114106178E-2,7.542610168E-3,-3.875137866E-2
5.003675000E-1,-1.048092544E-2,1.575756073E-2,-2.653750777E-2
5.054210940E-1,-1.456286013E-2,8.489608765E-3,-2.024224401E-2
5.104746880E-1,-1.505187154E-2,3.668785095E-3,2.545088530E-3
5.155282810E-1,-1.114368439E-3,2.454757690E-3,7.385939360E-3
5.205818750E-1,1.018807292E-2,-1.177787781E-2,1.333196461E-2
5.256354690E-1,-1.164019108E-3,-9.272575378E-3,3.677436709E-2
5.306890630E-1,4.108354449E-3,-4.426002502E-3,8.974254131E-3
5.357426560E-1,5.803778768E-3,-7.919311523E-3,-7.967829704E-3
5.407962500E-1,-4.306882620E-3,6.394386292E-3,-3.168353438E-2
5.458498440E-1,-1.074436307E-2,1.819229126E-2,-4.205237329E-2
5.509034380E-1,-1.706092060E-2,1.920890808E-2,-4.512254894E-2
5.559570310E-1,-1.129688323E-2,3.623008728E-3,-2.201381326E-2
5.610106250E-1,-6.804421544E-3,2.412796021E-3,-2.166897058E-2
5.660642190E-1,2.310797572E-3,-1.775264740E-2,2.351090312E-3
5.711178130E-1,5.411162972E-3,-6.900787354E-3,1.541131735E-2
5.761714060E-1,7.206380367E-3,-8.926391602E-4,9.413957596E-4
5.812250000E-1,-1.686230302E-3,1.217460632E-2,7.775127888E-4
5.862785940E-1,1.801079512E-2,9.708404541E-3,-2.436643839E-2
5.913321880E-1,-2.797260880E-3,1.082134247E-2,-5.393511057E-2
5.963857810E-1,8.655071259E-3,1.248359680E-3,-5.828492343E-2
6.014393750E-1,2.125170827E-2,-1.120567322E-3,-6.602314115E-2
6.064929690E-1,2.300055325E-2,1.076221466E-2,-5.222161114E-2
6.115465630E-1,9.402543306E-3,-5.932807922E-3,-2.545000613E-2
6.166001560E-1,5.401089787E-3,7.185935974E-3,-3.858521581E-3
6.216537500E-1,1.316592097E-2,9.509086609E-3,-1.806883514E-2
6.267073440E-1,2.209581435E-2,-1.191520691E-2,-2.996684611E-2
6.317609380E-1,2.267460525E-2,-2.302169800E-3,-3.930018842E-2
6.368145310E-1,2.192641795E-2,-4.639625549E-3,-6.174990535E-2
6.418681250E-1,1.305793226E-2,-2.238845825E-2,-7.788440585E-2
6.469217190E-1,1.919999719E-3,1.105022430E-2,-8.307042718E-2
6.519753130E-1,2.763584256E-3,-9.213447571E-3,-7.968971133E-2
6.570289060E-1,7.204592228E-3,-8.144378662E-4,-6.341716647E-2
6.620825000E-1,2.580845356E-2,1.582050323E-2,-5.546844006E-2
6.671360940E-1,2.530910075E-2,2.698898315E-4,-3.938260674E-2
6.721896880E-1,1.651816070E-2,-1.514911652E-2,-2.825587988E-2
6.772432810E-1,1.480188966E-2,-4.325866699E-3,-2.796605229E-2
6.822968750E-1,2.626498044E-2,-9.019851685E-3,-2.301992476E-2
6.873504690E-1,3.166934848E-2,-2.673530579E-2,-2.630147338E-2
6.924040630E-1,2.743925154E-2,-1.569747925E-3,-5.689036846E-2
6.974576560E-1,3.050400317E-2,1.151466370E-2,-5.622342229E-2
7.025112500E-1,3.596235812E-2,7.870674133E-3,-5.069303513E-2
7.075648440E-1,4.600183666E-2,-1.830291748E-2,-2.381174266E-2
7.126184380E-1,4.901532829E-2,-1.220035553E-2,-1.865908504E-2
7.176720310E-1,2.939017117E-2,-8.521080017E-3,-8.875504136E-3
7.227256250E-1,3.006443381E-2,-4.876136780E-3,6.868675351E-3
7.277792190E-1,3.783868253E-2,2.303123474E-3,6.881847978E-3
7.328328130E-1,3.961208463E-2,4.673957825E-3,1.398649812E-2
7.378864060E-1,4.373043776E-2,8.215904236E-3,4.337891936E-3
7.429400000E-1,2.885152400E-2,8.163452148E-3,-6.296381354E-3
7.479935940E-1,2.838821709E-2,-3.758430481E-3,-1.321905851E-2
7.530471880E-1,2.916088700E-2,-2.524375916E-3,-1.411876082E-2
7.581007810E-1,3.933230042E-2,2.260208130E-3,3.981620073E-3
7.631543750E-1,3.756466508E-2,1.293849945E-2,2.197778225E-2
7.682079690E-1,5.129015446E-2,-1.327133179E-2,3.748100996E-2
7.732615630E-1,4.709172249E-2,-1.907730103E-2,4.554802179E-2
7.783151560E-1,5.598606169E-2,-1.533889771E-2,2.976097167E-2
7.833687500E-1,4.818932712E-2,-3.318786621E-3,3.186805546E-2
7.884223440E-1,4.633137584E-2,-3.272056580E-3,1.736789942E-2
7.934759380E-1,4.089741409E-2,8.641242981E-3,-2.871200442E-3
7.985295310E-1,4.273776710E-2,2.045536041E-2,-2.353340387E-4
8.035831250E-1,4.571995139E-2,9.614944458E-3,1.788645983E-2
8.086367190E-1,4.391354322E-2,-1.063251495E-2,1.445934176E-2
8.136903130E-1,5.040244758E-2,-9.343147278E-3,3.352540731E-2
8.187439060E-1,5.452258885E-2,-9.403228760E-4,3.588822484E-2
8.237975000E-1,5.736017227E-2,-9.225845337E-3,4.162557423E-2
8.288510940E-1,5.199964345E-2,-1.150131226E-2,3.772683442E-2
8.339046880E-1,5.720041692E-2,-1.890182495E-3,3.865361214E-2
8.389582810E-1,4.447545111E-2,2.891540527E-3,2.050323784E-2
8.440118750E-1,4.506897926E-2,7.636070251E-3,2.869856358E-2
8.490654690E-1,5.389012396E-2,7.588386536E-3,2.032627165E-2
