"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.312276000E-2,-7.674398804E1,-9.255906105E0,1.201423645E0
9.312276000E-2,-7.665791321E1,-8.545304298E0,1.286224365E0
1.031227080E-1,-7.667770386E1,-8.122171402E0,1.367942810E0
1.131227600E-1,-7.683971405E1,-7.986595154E0,1.179519653E0
1.231227080E-1,-7.682015991E1,-8.184189796E0,1.245681763E0
1.331227600E-1,-7.678356934E1,-8.456236839E0,1.262474060E0
1.431227080E-1,-7.688973999E1,-8.677394867E0,1.449264526E0
1.531227600E-1,-7.690877533E1,-8.750569344E0,1.284843445E0
1.631227080E-1,-7.692658234E1,-8.610495567E0,1.401191711E0
1.731227080E-1,-7.685283661E1,-8.714277267E0,1.552246094E0
1.831226560E-1,-7.685669708E1,-8.892327309E0,1.740905762E0
1.931227080E-1,-7.674594879E1,-9.065361977E0,1.910011292E0
2.031353130E-1,-7.684123230E1,-8.999445915E0,2.044883728E0
2.132206770E-1,-7.699142456E1,-8.864099503E0,1.990013123E0
2.233166670E-1,-7.693238831E1,-8.737786293E0,1.991310120E0
2.334223960E-1,-7.674365234E1,-8.801273346E0,2.142333984E0
2.435403130E-1,-7.664965820E1,-8.955660820E0,2.006362915E0
2.536368230E-1,-7.686004639E1,-9.052461624E0,1.891616821E0
2.637396880E-1,-7.674440002E1,-9.064034462E0,1.680984497E0
2.738636980E-1,-7.699359894E1,-9.128076553E0,1.738609314E0
2.831227600E-1,-7.680522919E1,-9.349154472E0,1.601371765E0
2.931227080E-1,-7.652134705E1,-9.426248550E0,1.751777649E0
3.031227080E-1,-7.640608978E1,-9.438153267E0,1.598403931E0
3.131227600E-1,-7.653785706E1,-9.320014954E0,1.600494385E0
3.231227600E-1,-7.636627197E1,-9.242875099E0,1.772430420E0
3.331227080E-1,-7.600272369E1,-9.156565666E0,1.771812439E0
3.431228130E-1,-7.603971863E1,-9.157204628E0,1.600196838E0
3.531227080E-1,-7.596262360E1,-9.170743942E0,1.446975708E0
3.631228130E-1,-7.594187164E1,-9.063650131E0,1.429122925E0
3.731227600E-1,-7.598066711E1,-9.153203011E0,1.332756042E0
3.831227080E-1,-7.590472412E1,-9.237630844E0,1.197746277E0
3.931227600E-1,-7.585005951E1,-9.394649506E0,1.233703613E0
4.031227600E-1,-7.609487152E1,-9.297672272E0,9.879302979E-1
4.131226560E-1,-7.607733917E1,-9.385547638E0,1.024925232E0
4.231226560E-1,-7.623024750E1,-9.269997597E0,1.332458496E0
4.331227600E-1,-7.609670258E1,-9.159436226E0,1.562248230E0
4.431823440E-1,-7.618952179E1,-9.091418266E0,1.334487915E0
4.532552080E-1,-7.614608765E1,-8.770731926E0,1.242851257E0
4.633749480E-1,-7.621945953E1,-8.526833534E0,1.341667175E0
4.734679690E-1,-7.631228638E1,-8.371450424E0,1.305862427E0
4.835832290E-1,-7.631550598E1,-8.531474113E0,1.437484741E0
4.936816150E-1,-7.665714264E1,-8.457274437E0,1.363655090E0
5.037960940E-1,-7.669593811E1,-8.581774712E0,1.190505981E0
5.131227600E-1,-7.661961365E1,-8.630924225E0,1.075019836E0
5.231227600E-1,-7.648812103E1,-8.661917686E0,1.303054810E0
5.331227600E-1,-7.671977997E1,-8.831309319E0,1.359283447E0
5.431227600E-1,-7.679648590E1,-8.852383614E0,1.378463745E0
5.531227600E-1,-7.679546356E1,-8.764133453E0,1.417732239E0
5.631227080E-1,-7.690762329E1,-8.679681778E0,1.266616821E0
5.731227600E-1,-7.681028748E1,-8.586568832E0,1.171890259E0
5.831227600E-1,-7.667736816E1,-8.651291847E0,1.113204956E0
5.931227600E-1,-7.660156250E1,-8.683410645E0,1.112449646E0
6.031227600E-1,-7.675523376E1,-8.708309174E0,1.227371216E0
6.131227600E-1,-7.654536438E1,-8.646897316E0,1.341674805E0
6.231228130E-1,-7.643331909E1,-8.818825722E0,1.319923401E0
6.331227080E-1,-7.620359039E1,-8.773405075E0,1.281250000E0
6.431228130E-1,-7.593943024E1,-8.921762466E0,1.373603821E0
6.531227080E-1,-7.596378326E1,-9.189212799E0,1.580337524E0
6.631227600E-1,-7.583138275E1,-9.236905098E0,1.636383057E0
6.731385940E-1,-7.575647736E1,-9.304744720E0,1.692443848E0
6.831656770E-1,-7.560640717E1,-9.440201759E0,1.766403198E0
6.932991670E-1,-7.549667358E1,-9.858745575E0,1.550720215E0
7.034094790E-1,-7.549975586E1,-1.003613186E1,1.624870300E0
7.135147920E-1,-7.569492340E1,-1.036258411E1,1.583534241E0
7.236191670E-1,-7.565676880E1,-1.029105663E1,1.736938477E0
7.337289060E-1,-7.532920074E1,-1.006471634E1,1.719146729E0
7.438302600E-1,-7.549873352E1,-9.947880745E0,1.664138794E0
7.531227600E-1,-7.553534698E1,-9.860822678E0,1.627220154E0
7.631227080E-1,-7.543621826E1,-9.626376152E0,1.572418213E0
7.731227600E-1,-7.560512543E1,-9.334257126E0,1.805885315E0
7.831227600E-1,-7.550573730E1,-9.117062569E0,1.674522400E0
7.931226560E-1,-7.550445557E1,-8.993644714E0,1.752403259E0
8.031227600E-1,-7.554171753E1,-8.942086220E0,1.734130859E0
8.131227600E-1,-7.576925659E1,-8.968152046E0,1.486740112E0
8.231227080E-1,-7.553759003E1,-8.833706856E0,1.353729248E0
8.331226560E-1,-7.564730835E1,-8.624841690E0,1.108718872E0
8.431227600E-1,-7.585704041E1,-8.756034851E0,8.217620850E-1
8.531227080E-1,-7.581489563E1,-8.523819923E0,7.290267944E-1
8.631227080E-1,-7.588993835E1,-8.386198997E0,8.456115723E-1
8.731228130E-1,-7.583038330E1,-8.224496841E0,8.473510742E-1
8.831228130E-1,-7.584817505E1,-8.206735611E0,6.949615479E-1
8.931228130E-1,-7.586726379E1,-8.137660027E0,8.486022949E-1
9.031226560E-1,-7.594705963E1,-8.283701897E0,1.057106018E0
9.131596350E-1,-7.575882721E1,-8.487417221E0,9.773406982E-1
9.232335420E-1,-7.566213989E1,-8.377385139E0,1.016433716E0
9.333450000E-1,-7.558786774E1,-8.585562706E0,8.608016968E-1
9.434583330E-1,-7.574128723E1,-8.610239029E0,9.375534058E-1
9.535592710E-1,-7.570221710E1,-8.607830048E0,8.037948608E-1
9.636809380E-1,-7.564472198E1,-8.570209503E0,8.421707153E-1
9.737883850E-1,-7.556775665E1,-8.566386223E0,7.464294434E-1
9.838726040E-1,-7.556684875E1,-8.565611839E0,6.128311157E-1
9.931227080E-1,-7.564318085E1,-8.464043617E0,8.434906006E-1
1.003122760E0,-7.575971985E1,-8.558084488E0,9.573822021E-1
1.013122708E0,-7.579736328E1,-8.576749802E0,8.428039551E-1
1.023122813E0,-7.556607819E1,-8.530002594E0,5.750961304E-1
1.033122865E0,-7.566315460E1,-8.622893333E0,6.316528320E-1
1.043122813E0,-7.556568909E1,-8.547143936E0,4.794540405E-1
1.053122708E0,-7.575520325E1,-8.449373245E0,5.197296143E-1
1.063122708E0,-7.581425476E1,-8.505794525E0,6.719894409E-1
1.073122760E0,-7.577660370E1,-8.574494362E0,5.946121216E-1
1.083122760E0,-7.583319855E1,-8.558919907E0,5.378112793E-1
1.093122760E0,-7.583320618E1,-8.454081535E0,7.681579590E-1
1.103122760E0,-7.572052765E1,-8.538090706E0,8.429336548E-1
1.113122708E0,-7.552882385E1,-8.529141426E0,7.085494995E-1
1.123122708E0,-7.585459900E1,-8.614148140E0,7.662658691E-1
1.133122760E0,-7.568505859E1,-8.783403397E0,7.061080933E-1
1.143138802E0,-7.554995728E1,-8.671514511E0,7.068710327E-1
