"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.183761980E-1,-1.121597290E-1,-3.334331512E-2,2.325579897E-2
1.235307820E-1,-1.047177017E-1,-2.776813507E-2,9.236995131E-3
1.286853650E-1,-8.041307330E-2,-1.706027985E-2,-4.314110056E-2
1.338399480E-1,-8.132225275E-2,-1.605701447E-2,-7.341045886E-2
1.389945320E-1,-7.340425253E-2,-1.290321350E-2,-7.614748925E-2
1.440891670E-1,-6.168180704E-2,5.916595459E-3,-9.143766761E-2
1.491427610E-1,-6.313833594E-2,-5.751609802E-3,-7.204224169E-2
1.541963550E-1,-5.098867416E-2,-1.117610931E-2,-4.115226865E-2
1.592499480E-1,-2.012607455E-2,-1.528739929E-3,-1.638973132E-2
1.643035420E-1,-2.270710468E-2,8.268356323E-4,-6.551812869E-3
1.693571360E-1,-1.597309113E-2,-6.087303162E-3,-6.342399865E-4
1.744107300E-1,-1.193708181E-2,-1.044273376E-2,-1.456509903E-2
1.794643230E-1,-8.046150208E-3,-2.040100098E-2,-3.936097026E-2
1.845179170E-1,1.408308744E-3,-1.388359070E-2,-6.790662557E-2
1.895715110E-1,-1.834511757E-2,-2.031612396E-2,-6.074945629E-2
1.946251050E-1,-1.315492392E-2,2.342224121E-3,-5.623127520E-2
1.996786980E-1,-1.151591539E-3,9.205818176E-3,-4.262817651E-2
2.047322920E-1,-1.272016764E-2,-1.657772064E-2,-2.365851216E-2
2.097858860E-1,-2.044674754E-2,1.335144043E-3,2.704109065E-3
2.148394800E-1,-1.283949614E-2,-9.150505066E-3,7.439348381E-3
2.198930730E-1,-1.364514232E-2,-2.166366577E-2,7.229272276E-3
2.249466670E-1,-1.679494977E-2,-1.174354553E-2,-1.854655333E-2
2.300002610E-1,-8.307158947E-3,-1.258659363E-2,-3.776113689E-2
2.350538550E-1,-1.627185941E-2,-1.923465729E-2,-5.991923809E-2
2.401074480E-1,4.673302174E-4,-8.106231689E-5,-7.442639768E-2
2.451610420E-1,-1.481807232E-2,-1.248359680E-3,-5.124362558E-2
2.502146360E-1,-1.448410749E-2,9.284973145E-3,-2.642966062E-2
2.552682300E-1,-2.581611276E-2,2.073764801E-2,-1.376710366E-2
2.603218230E-1,-2.406939864E-2,7.388114929E-3,1.247221977E-2
2.653754170E-1,-2.468565106E-2,-1.032066345E-2,3.329951316E-2
2.704290110E-1,-2.177667618E-2,-5.407333374E-3,2.565173432E-2
2.754826050E-1,-4.116728902E-2,-7.626533508E-3,3.100451827E-2
2.805361980E-1,-4.142025113E-2,1.010608673E-2,1.173880883E-2
2.855897920E-1,-4.412013292E-2,1.926040649E-2,5.773836281E-3
2.906434380E-1,-3.148660064E-2,2.449035645E-3,8.277663030E-3
2.956969800E-1,-3.910395503E-2,-8.155822754E-3,3.728695679E-3
3.007506250E-1,-3.362125158E-2,2.183914185E-4,2.506569773E-2
3.058042190E-1,-3.763321042E-2,3.736495972E-3,5.411963910E-2
3.108578130E-1,-2.755394578E-2,-2.206802368E-3,6.502471119E-2
3.159114070E-1,-3.995987773E-2,-6.863594055E-3,8.024969697E-2
3.209650000E-1,-3.451210260E-2,6.187438965E-3,7.175578177E-2
3.260185940E-1,-3.271603584E-2,-1.037788391E-2,4.805464670E-2
3.310721880E-1,-3.792694211E-2,-6.663322449E-3,3.546525165E-2
3.361257820E-1,-3.019702435E-2,-4.194259644E-3,5.649915431E-3
3.411793750E-1,-7.301330566E-3,-8.826255798E-3,-2.488681115E-3
3.462329690E-1,-3.533989191E-3,-2.789497375E-3,1.259270357E-3
3.512865630E-1,3.655791283E-3,-5.093574524E-3,2.734054253E-2
3.563401570E-1,1.782327890E-2,-5.006790161E-3,3.759080172E-2
3.613937500E-1,3.052926064E-2,6.851196289E-3,4.413650557E-2
3.664473440E-1,3.597325087E-2,1.145648956E-2,5.292816460E-2
3.715009380E-1,4.841133952E-2,-8.754730225E-3,3.448316082E-2
3.765545320E-1,4.300537705E-2,-1.333236694E-2,4.469429608E-3
3.816081250E-1,5.300238729E-2,-3.698348999E-3,-6.058980245E-3
3.866617190E-1,5.926465988E-2,-1.058578491E-4,-2.004327625E-2
3.917153130E-1,5.126458406E-2,3.431320190E-3,-1.837710850E-2
3.967689070E-1,5.402392149E-2,-9.594917297E-3,-1.084163878E-2
4.018225000E-1,5.675515532E-2,4.700660706E-3,3.694741055E-3
4.068760940E-1,4.399681091E-2,-1.272201538E-3,2.153761312E-2
4.119296880E-1,4.331880808E-2,-8.340835571E-3,3.075252660E-2
4.169832820E-1,4.373383522E-2,7.116317749E-3,3.522774950E-2
4.220368750E-1,4.419660568E-2,3.472328186E-3,1.596010663E-2
4.270904690E-1,2.343174815E-2,-1.311206818E-2,6.372995209E-3
4.321440630E-1,2.190527320E-2,-7.034301758E-3,-6.602745038E-3
4.371976570E-1,3.200665116E-2,1.318931580E-3,-2.637965791E-2
4.422512500E-1,4.573988914E-2,1.300811768E-3,-1.397244167E-2
4.473048440E-1,3.560864925E-2,9.553909302E-3,-1.349835191E-2
4.523584380E-1,1.378881931E-2,-2.388954163E-3,1.056416892E-2
4.574120320E-1,3.474199772E-2,-8.277893066E-3,2.608551458E-2
4.624656250E-1,3.660112619E-2,-4.631996155E-3,3.898181021E-2
4.675192190E-1,1.833862066E-2,-2.350139618E-2,3.756608441E-2
4.725728130E-1,3.212624788E-2,2.795219421E-3,2.304442227E-2
4.776264070E-1,4.105451703E-2,-5.524635315E-3,2.411803417E-2
4.826800000E-1,3.336602449E-2,-5.464553833E-3,1.329296827E-2
4.877335940E-1,3.282496333E-2,2.876281738E-3,8.583890274E-3
4.927871880E-1,1.797235012E-2,4.016876221E-3,9.905980900E-3
4.978408340E-1,2.351570129E-2,3.966331482E-3,6.497268099E-3
5.028943750E-1,1.956060529E-2,-1.999855042E-3,6.584840827E-3
5.079480210E-1,1.553067565E-2,-7.907867432E-3,2.101741359E-2
5.130016150E-1,8.069783449E-3,1.644134521E-3,1.022008155E-2
5.180552090E-1,-6.581038237E-3,-1.259517670E-2,9.011919610E-3
5.231088030E-1,-6.744205952E-3,5.578994751E-4,6.971859839E-4
5.281623960E-1,2.003014088E-4,-7.746696472E-3,-1.343916543E-2
5.332159900E-1,-1.421979070E-2,-4.118919373E-3,-2.156466059E-2
5.382695840E-1,-1.432156563E-2,-5.269050598E-3,-2.117831446E-2
5.433231780E-1,-1.550289989E-2,5.443572998E-3,-2.437242493E-2
5.483767710E-1,-1.901367307E-2,2.078914642E-2,-1.797697507E-2
5.534303650E-1,-2.262720466E-2,8.723258972E-3,-1.870098338E-2
5.584839590E-1,-2.847188711E-2,-8.497238159E-4,-1.472318731E-2
5.635375530E-1,-3.547763824E-2,2.709388733E-3,-1.347092446E-3
5.685911460E-1,-4.951620102E-2,-7.992744446E-3,3.586944658E-3
5.736447400E-1,-5.278480053E-2,-1.266384125E-2,-1.061719097E-2
5.786983340E-1,-4.889824986E-2,-1.017761230E-2,-1.036545262E-2
5.837519280E-1,-4.982596636E-2,-6.530761719E-3,-5.392233841E-3
5.888055210E-1,-5.660319328E-2,5.384445190E-3,-1.636718400E-3
5.938591150E-1,-6.567940116E-2,-2.970695496E-3,9.886156768E-4
5.989127090E-1,-7.475358248E-2,-1.764297485E-3,5.902661942E-3
6.039663030E-1,-5.414274335E-2,-1.361942291E-2,2.512592264E-2
6.090198960E-1,-5.017858744E-2,-1.705741882E-2,4.048320279E-2
6.140734900E-1,-5.817797780E-2,-6.233215332E-3,3.909916803E-2
6.191270840E-1,-5.785137415E-2,-9.743690491E-3,4.716007784E-2
6.241806780E-1,-5.623975396E-2,-1.440715790E-2,4.681737721E-2
6.292342710E-1,-6.185713410E-2,-4.794120789E-3,4.522214085E-2
6.342878650E-1,-5.668956041E-2,-2.383232117E-3,5.447170138E-2
6.393414590E-1,-3.608131409E-2,3.570556641E-3,5.409436300E-2
6.443950530E-1,-4.412093759E-2,3.539085388E-3,4.660116509E-2
6.494486460E-1,-4.025644064E-2,7.067680359E-3,4.758752882E-2
6.545022400E-1,-4.245319963E-2,2.254486084E-3,5.561583862E-2
6.595558340E-1,-2.562326193E-2,-1.201343536E-2,6.237556785E-2
6.646094800E-1,-3.616070747E-2,-1.903820038E-2,5.478869006E-2
6.696630730E-1,-1.223057508E-2,-1.057434082E-2,5.794975907E-2
6.747166670E-1,-7.477849722E-3,-4.553794861E-3,5.396151543E-2
6.797702610E-1,-1.226139069E-2,4.977226257E-3,3.221710771E-2
6.848238550E-1,-1.618474722E-3,1.442718506E-2,3.316451237E-2
6.898774480E-1,-5.188107491E-3,1.667976379E-2,1.994779520E-2
6.949310420E-1,4.314720631E-3,-3.640174866E-3,3.892194480E-2
6.999846360E-1,1.241508126E-2,-4.802703857E-3,3.396729007E-2
7.050382300E-1,6.218224764E-3,-2.394676208E-3,2.214276232E-2
7.100918230E-1,-4.675358534E-3,-4.754066467E-3,3.274370730E-2
7.151454170E-1,-1.065412164E-2,4.778862000E-3,4.214329645E-2
7.201990110E-1,1.062878966E-2,4.733085632E-3,3.460240364E-2
7.252526050E-1,3.289967775E-3,-8.367538452E-3,2.009267919E-2
7.303061980E-1,-7.654815912E-3,1.191139221E-3,8.169849403E-3
7.353597920E-1,-1.365417242E-2,-9.508132935E-3,1.019023824E-3
7.404133860E-1,-2.433672547E-2,5.999565125E-3,-1.822287741E-4
7.454669800E-1,-7.718324661E-3,-1.179695129E-3,-1.668281853E-2
7.505205730E-1,-1.135814190E-2,-3.549575806E-3,2.504744567E-3
7.555741670E-1,-2.793461084E-2,-5.896568298E-3,1.448719390E-2
7.606277610E-1,-3.612405062E-2,4.832267761E-3,1.805921830E-2
7.656813550E-1,-3.354635835E-2,-1.183032990E-2,7.295545656E-3
7.707349480E-1,-4.881143570E-2,-1.052856445E-3,2.556412714E-3
7.757885420E-1,-3.891485929E-2,6.077766418E-3,-6.919139065E-3
7.808421360E-1,-3.990545869E-2,-1.178264618E-2,-1.386751886E-2
7.858957300E-1,-4.802533984E-2,1.811981201E-4,-1.138137560E-2
