"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.525437500E-2,-4.328341293E1,-5.714781284E0,-2.196678162E1
1.052543750E-1,-4.358666611E1,-5.306735992E0,-2.134951782E1
1.152544280E-1,-4.429315948E1,-4.959481239E0,-2.139279175E1
1.252543750E-1,-4.411628342E1,-5.011127472E0,-2.134336090E1
1.352543750E-1,-4.397550964E1,-4.841567993E0,-2.149459076E1
1.452543230E-1,-4.390744781E1,-4.660021305E0,-2.139084625E1
1.552543750E-1,-4.394371033E1,-4.412243366E0,-2.140213776E1
1.652850000E-1,-4.397309113E1,-4.350602627E0,-2.135487366E1
1.753077610E-1,-4.400688171E1,-4.051433086E0,-2.135099030E1
1.854135420E-1,-4.389239502E1,-4.116420746E0,-2.150502777E1
1.955211980E-1,-4.358840179E1,-4.174339294E0,-2.146899414E1
2.056282300E-1,-4.370325470E1,-4.284414768E0,-2.164160919E1
2.157336460E-1,-4.355126190E1,-4.313374043E0,-2.162359619E1
2.258422400E-1,-4.351643753E1,-4.559238911E0,-2.166499329E1
2.359489590E-1,-4.332679749E1,-4.587005615E0,-2.157079315E1
2.452543750E-1,-4.313497162E1,-4.490580082E0,-2.153231049E1
2.552543750E-1,-4.308029175E1,-4.734963894E0,-2.168830109E1
2.652543230E-1,-4.334715271E1,-4.746187687E0,-2.172537231E1
2.752542190E-1,-4.324879456E1,-4.564824581E0,-2.178083038E1
2.852543750E-1,-4.321076965E1,-4.510880947E0,-2.164672852E1
2.952543750E-1,-4.349708939E1,-4.628092766E0,-2.185680389E1
3.052543750E-1,-4.351166534E1,-4.397887707E0,-2.202564240E1
3.152543750E-1,-4.351383972E1,-4.609446049E0,-2.216187286E1
3.252543750E-1,-4.363165283E1,-4.896797180E0,-2.227942657E1
3.352543750E-1,-4.389530182E1,-4.695577621E0,-2.233294678E1
3.452543750E-1,-4.368168640E1,-4.526118755E0,-2.254177856E1
3.552543750E-1,-4.370257187E1,-4.598377705E0,-2.242806244E1
3.652543230E-1,-4.358745956E1,-4.453134537E0,-2.221683502E1
3.752543230E-1,-4.327960968E1,-4.263110638E0,-2.221590424E1
3.852543750E-1,-4.326349640E1,-4.369676590E0,-2.200735474E1
